0	98
0	37
0	39
0	8
0	42
0	94
0	13
0	93
0	85
0	53
0	55
0	56
0	25
0	26
0	95
0	90
0	30
0	31
1	2
1	3
1	4
1	7
1	10
1	11
1	19
1	21
1	24
1	28
1	29
1	33
1	43
1	45
1	46
1	48
1	49
1	51
1	52
1	58
1	59
1	60
1	61
1	67
1	68
1	69
1	75
1	77
1	80
1	81
1	83
1	84
1	92
1	99
2	3
2	4
2	10
2	11
2	21
2	24
2	28
2	33
2	45
2	46
2	48
2	49
2	51
2	52
2	58
2	59
2	61
2	69
2	75
2	79
2	80
2	83
2	84
2	92
2	99
3	4
3	7
3	10
3	11
3	19
3	21
3	24
3	29
3	33
3	45
3	46
3	48
3	49
3	51
3	52
3	58
3	59
3	60
3	61
3	67
3	68
3	69
3	75
3	77
3	80
3	83
3	84
3	92
3	99
4	7
4	10
4	11
4	19
4	21
4	24
4	29
4	32
4	33
4	45
4	46
4	47
4	48
4	49
4	51
4	52
4	58
4	59
4	60
4	61
4	62
4	67
4	68
4	69
4	75
4	77
4	80
4	83
4	92
4	99
5	65
5	66
5	35
5	38
5	72
5	9
5	43
5	76
5	46
5	79
5	49
5	50
5	51
5	52
5	54
5	89
5	84
5	58
5	27
5	28
6	32
6	64
6	67
6	36
6	7
6	74
6	44
6	47
6	87
6	57
6	29
6	62
7	10
7	12
7	18
7	19
7	20
7	24
7	29
7	32
7	33
7	34
7	36
7	44
7	45
7	47
7	57
7	60
7	61
7	62
7	64
7	67
7	68
7	69
7	75
7	77
7	80
7	81
7	86
7	87
7	88
7	92
7	96
7	99
8	65
8	98
8	88
8	81
8	39
8	40
8	9
8	42
8	12
8	17
8	82
8	20
8	53
8	86
8	72
8	56
8	25
8	26
8	30
8	85
9	65
9	66
9	35
9	38
9	43
9	82
9	78
9	15
9	40
9	50
9	19
9	88
9	54
9	23
9	56
9	25
9	91
9	72
10	11
10	19
10	21
10	24
10	29
10	33
10	34
10	43
10	45
10	46
10	48
10	49
10	51
10	52
10	58
10	59
10	60
10	61
10	67
10	68
10	69
10	75
10	77
10	80
10	81
10	83
10	88
10	92
10	99
11	21
11	24
11	28
11	29
11	33
11	45
11	46
11	48
11	49
11	51
11	52
11	58
11	59
11	60
11	61
11	69
11	75
11	80
11	83
11	84
11	92
11	99
12	16
12	17
12	18
12	19
12	20
12	25
12	32
12	34
12	36
12	40
12	41
12	44
12	45
12	56
12	60
12	63
12	64
12	65
12	67
12	68
12	70
12	71
12	77
12	81
12	86
12	88
12	96
12	97
13	97
13	37
13	70
13	39
13	41
13	71
13	17
13	22
13	55
13	90
13	95
13	63
14	73
14	23
15	98
15	35
15	38
15	72
15	42
15	78
15	82
15	85
15	23
15	26
15	91
16	64
16	96
16	36
16	86
16	70
16	71
16	41
16	74
16	44
16	17
16	18
16	97
16	22
16	57
16	63
17	18
17	20
17	22
17	25
17	34
17	37
17	39
17	40
17	41
17	44
17	56
17	63
17	70
17	71
17	81
17	86
17	88
17	90
17	96
17	97
18	20
18	32
18	34
18	36
18	40
18	41
18	44
18	45
18	57
18	60
18	62
18	63
18	64
18	67
18	68
18	70
18	71
18	74
18	77
18	81
18	86
18	87
18	88
18	96
18	97
19	20
19	24
19	25
19	34
19	38
19	40
19	43
19	45
19	46
19	51
19	54
19	56
19	58
19	60
19	65
19	66
19	67
19	68
19	69
19	72
19	75
19	77
19	80
19	81
19	82
19	86
19	88
19	92
19	96
20	24
