# Input: ../as20graph.txt
# Nodes: 6474    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.577037
# Communities: 140
# NId	CommunityId
1	0
49	0
63	0
70	0
71	0
81	0
86	0
87	0
90	0
109	0
125	0
140	0
144	0
157	0
159	0
161	0
167	0
174	0
189	0
196	0
199	0
209	0
267	0
557	0
600	0
613	0
685	0
700	0
701	0
763	0
1225	0
1226	0
1236	0
1239	0
1251	0
1294	0
1311	0
1325	0
1341	0
1351	0
1659	0
1740	0
1744	0
1757	0
1763	0
1767	0
1787	0
1789	0
1790	0
1791	0
1797	0
1833	0
1906	0
1968	0
1975	0
1982	0
2003	0
2011	0
2015	0
2019	0
2024	0
2044	0
2052	0
2276	0
2379	0
2386	0
2548	0
2551	0
2572	0
2631	0
2648	0
2707	0
2712	0
2714	0
2715	0
2825	0
2855	0
2897	0
2899	0
2911	0
2918	0
2933	0
3064	0
3079	0
3081	0
3087	0
3104	0
3112	0
3113	0
3126	0
3134	0
3147	0
3362	0
3366	0
3379	0
3390	0
3403	0
3405	0
3407	0
3448	0
3451	0
3458	0
3464	0
3479	0
3494	0
3495	0
3502	0
3505	0
3513	0
3555	0
3561	0
3564	0
3566	0
3569	0
3571	0
3578	0
3585	0
3588	0
3593	0
3594	0
3599	0
3614	0
3623	0
3625	0
3653	0
3655	0
3663	0
3670	0
3674	0
3680	0
3699	0
3703	0
3704	0
3707	0
3708	0
3714	0
3728	0
3733	0
3737	0
3742	0
3746	0
3749	0
3753	0
3762	0
3764	0
3768	0
3770	0
3790	0
3796	0
3801	0
3814	0
3815	0
3828	0
3830	0
3831	0
3833	0
3846	0
3850	0
3851	0
3855	0
3857	0
3899	0
3900	0
3914	0
3950	0
3951	0
3955	0
3957	0
3994	0
3996	0
3998	0
4010	0
4039	0
4043	0
4057	0
4129	0
4133	0
4150	0
4151	0
4167	0
4187	0
4191	0
4195	0
4200	0
4203	0
4208	0
4223	0
4239	0
4243	0
4247	0
4261	0
4263	0
4265	0
4266	0
4271	0
4278	0
4279	0
4281	0
4286	0
4291	0
4295	0
4307	0
4309	0
4324	0
4327	0
4364	0
4367	0
4372	0
4373	0
4376	0
4390	0
4393	0
4436	0
4449	0
4452	0
4454	0
4456	0
4465	0
4471	0
4472	0
4500	0
4515	0
4519	0
4521	0
4530	0
4536	0
4539	0
4542	0
4543	0
4547	0
4566	0
4569	0
4574	0
4581	0
4583	0
4587	0
4592	0
4750	0
4911	0
4922	0
4923	0
4924	0
4927	0
4933	0
4940	0
4943	0
4947	0
4952	0
4959	0
4960	0
4963	0
4966	0
4977	0
4979	0
4986	0
4993	0
4997	0
4999	0
5002	0
5015	0
5024	0
5048	0
5049	0
5054	0
5055	0
5056	0
5072	0
5074	0
5075	0
5076	0
5079	0
5080	0
5086	0
5093	0
5097	0
5108	0
5536	0
5540	0
5642	0
5645	0
5650	0
5651	0
5652	0
5662	0
5665	0
5668	0
5679	0
5684	0
5689	0
5691	0
5694	0
5697	0
5698	0
5703	0
5706	0
5714	0
5716	0
5728	0
5730	0
5731	0
5736	0
5742	0
5743	0
5746	0
5752	0
5757	0
5760	0
5761	0
5762	0
5767	0
5771	0
5778	0
5779	0
5786	0
5789	0
5790	0
5977	0
6057	0
6061	0
6071	0
6073	0
6076	0
6082	0
6091	0
6095	0
6102	0
